Name,Formula,ChEBI,Molecular_weight,Ontology,Uptake_significance,week3_1,week3_2,week3_3,week3_4,week3,week6_1,week6_2,week6_3,week6_4,week6,week9_1,week9_2,week9_3,week9_4,week9,week12_1,week12_2,week12_3,week12_4,week12,week3_rnorm,week6_rnorm,week9_rnorm,week12_rnorm,rsum
malic acid,C4H6O5,6650,134.08744,Organic acids,no,1.00E+08,2.98E+07,1.83E+08,1.04E+07,6.49E+07,8.25E+07,1.39E+08,2.14E+08,5.49E+07,1.11E+08,4.55E+08,3.71E+08,9.16E+07,1.12E+09,4.13E+08,4.16E+06,2.26E+06,1.50E+08,486000,3.21E+06,1.10E-01,1.87E-01,6.98E-01,5.42E-03,1
malonic acid ,C3H4O4,30794,104.06146,Organic acids,no,1.52E+07,1.80E+07,2.31E+07,6.83E+06,1.66E+07,7.85E+06,8.56E+06,1.21E+07,9.11E+06,8.84E+06,1.13E+07,1.29E+07,8.23E+06,6.42E+07,1.21E+07,908000,1.78E+06,1.26E+07,1.62E+06,1.70E+06,4.23E-01,2.25E-01,3.08E-01,4.33E-02,1
methionine ,C5H11NO2S,16811,149.21238,Amino acids,no,4.29E+07,2.34E+07,6.71E+06,2.60E+07,2.47E+07,1.84E+08,2.13E+08,1.43E+08,1.85E+08,1.85E+08,8.37E+07,1.37E+08,1.81E+08,3.14E+08,1.59E+08,941000,441000,2.00E+07,1.81E+06,1.38E+06,6.68E-02,4.99E-01,4.30E-01,3.72E-03,1
N-acetyl-D-glucosamine ,C8H15NO6,506227,221.2078,Sugars,yes,6.17E+06,8.94E+06,1.28E+07,1.22E+07,1.06E+07,9.57E+06,8.88E+06,8.33E+06,8.93E+06,8.91E+06,3.82E+06,2.90E+06,1.27E+07,1.09E+07,7.36E+06,532000,1.13E+06,1.63E+06,331000,8.31E+05,3.82E-01,3.22E-01,2.66E-01,3.00E-02,1
nicotinic acid,C6H5NO2,15940,123.10944,Organic acids,yes,2.40E+07,2.89E+07,2.13E+07,1.91E+07,2.27E+07,1.04E+08,9.76E+07,6.98E+07,1.03E+08,1.00E+08,1.15E+08,1.48E+08,1.49E+08,3.27E+08,1.49E+08,1.00E+07,1.37E+07,4.46E+07,1.60E+07,1.49E+07,7.91E-02,3.50E-01,5.19E-01,5.19E-02,1
ornithine,C5H12N2O2,18257,132.16106,Amino acids,no,1.16E+07,6.63E+06,4.25E+06,4.87E+06,5.75E+06,2.77E+07,5.32E+07,4.21E+07,5.12E+07,4.67E+07,7.03E+06,9.56E+06,1.62E+07,2.48E+07,1.29E+07,699000,441000,1.96E+06,464000,5.82E+05,8.73E-02,7.08E-01,1.96E-01,8.83E-03,1
pantothenic acid ,C9H17NO5,7916,219.23502,Organic acids,no,1.63E+07,2.16E+07,3.52E+07,2.03E+07,2.10E+07,2.82E+07,3.13E+07,1.21E+07,2.94E+07,2.88E+07,4.73E+07,6.91E+07,5.59E+07,2.12E+08,6.25E+07,254000,394000,2.31E+07,400000,3.97E+05,1.86E-01,2.56E-01,5.55E-01,3.52E-03,1
arabinose,C5H10O5,22599,150.1299,Sugars,no,1.12E+07,1.58E+07,1.49E+07,9.75E+06,1.31E+07,1.06E+07,9.82E+06,1.36E+07,9.16E+06,1.02E+07,1.50E+07,1.48E+07,2.39E+07,3.14E+07,1.95E+07,767000,4.47E+06,5.01E+06,1.53E+06,3.00E+06,2.85E-01,2.23E-01,4.26E-01,6.56E-02,1
D-ribose,C5H10O5,16988,150.1299,Sugars,yes,1.21E+07,6.43E+06,1.29E+07,8.06E+06,1.01E+07,1.69E+07,1.24E+07,1.68E+07,1.79E+07,1.69E+07,1.58E+07,1.11E+07,2.54E+07,4.00E+07,2.06E+07,400000,1.78E+06,2.38E+06,353000,1.09E+06,2.07E-01,3.47E-01,4.24E-01,2.24E-02,1
xylose,C5H10O5,18222,150.13,Sugars,no,5.71E+06,3.63E+06,4.83E+06,1.61E+06,4.23E+06,7.46E+06,3.77E+06,5.09E+06,5.33E+06,5.21E+06,6.31E+06,9.53E+06,9.72E+06,6.66E+07,9.63E+06,0,216000,2.11E+06,8240,1.12E+05,2.21E-01,2.72E-01,5.02E-01,5.85E-03,1
phenylalanine ,C9H11NO2,28044,165.18918,Amino acids,no,6.41E+08,3.58E+08,3.66E+08,3.08E+08,3.62E+08,1.72E+09,1.99E+09,1.32E+09,2.19E+09,1.86E+09,9.45E+08,1.14E+09,1.46E+09,2.46E+09,1.30E+09,9.99E+06,9.00E+06,2.52E+08,2.47E+07,1.73E+07,1.02E-01,5.25E-01,3.68E-01,4.91E-03,1
proline ,C5H9NO2,26271,115.1305,Amino acids,no,2.04E+08,1.79E+08,2.18E+08,2.04E+08,2.04E+08,6.34E+08,6.35E+08,5.60E+08,6.32E+08,6.33E+08,1.24E+09,5.45E+08,5.77E+08,1.76E+09,9.09E+08,1.04E+07,1.87E+07,1.23E+08,1.86E+08,7.09E+07,1.12E-01,3.49E-01,5.00E-01,3.90E-02,1
salicylic acid,C7H6O3,16914,138.1207,Organic acids,yes,7.93E+08,4.35E+08,3.97E+08,5.44E+08,4.90E+08,1.74E+09,1.04E+09,1.30E+09,1.43E+09,1.37E+09,4.75E+08,4.00E+08,3.96E+08,7.52E+08,4.38E+08,2.27E+08,1.85E+08,3.05E+08,2.60E+08,2.44E+08,1.93E-01,5.38E-01,1.73E-01,9.60E-02,1
serine ,C3H7NO3,17822,105.09262,Amino acids,no,6.87E+07,5.79E+07,6.51E+07,4.47E+07,6.15E+07,2.57E+08,2.52E+08,1.56E+08,2.78E+08,2.55E+08,1.76E+08,4.01E+08,2.73E+08,6.41E+08,3.37E+08,776000,919000,2.55E+08,2.19E+06,1.55E+06,9.40E-02,3.89E-01,5.15E-01,2.37E-03,1
shikimic acid,C7H10O5,16119,174.1513,Organic acids,yes,1.81E+07,1.50E+07,2.84E+07,2.20E+07,2.01E+07,2.16E+07,2.09E+07,2.08E+07,2.34E+07,2.13E+07,3.76E+07,3.53E+07,2.64E+07,7.74E+07,3.65E+07,408000,8.43E+06,2.70E+07,287000,4.42E+06,2.44E-01,2.59E-01,4.44E-01,5.38E-02,1
sinapyl alcohol,C11H14O4,28813,210.2265,Organic acids,no,1.47E+06,2.10E+06,1.52E+06,1.79E+06,1.66E+06,1.66E+06,1.65E+06,1.58E+06,1.18E+06,1.62E+06,1.24E+06,1.12E+06,1.75E+06,1.50E+06,1.37E+06,3.33E+06,4.75E+06,2.45E+06,2.32E+06,2.89E+06,2.20E-01,2.14E-01,1.82E-01,3.84E-01,1
stachyhydrine,C7H13NO2,86534,143.1836,Organic acids,no,3.47E+07,3.98E+07,6.08E+07,4.96E+07,4.47E+07,1.74E+08,1.86E+08,2.25E+08,1.98E+08,1.92E+08,1.84E+09,4.05E+08,2.38E+08,6.59E+08,5.32E+08,1.39E+10,7.13E+09,4.95E+08,9.59E+09,8.36E+09,4.90E-03,2.10E-02,5.83E-02,9.16E-01,1
succinic acid,C4H6O4,15741,118.088,Organic acids,no,1.70E+08,1.35E+08,2.87E+08,5.32E+07,1.53E+08,5.02E+08,4.18E+08,4.98E+08,4.84E+08,4.91E+08,1.31E+08,4.03E+08,3.91E+08,8.75E+08,3.97E+08,3.79E+06,3.38E+06,2.27E+08,3.72E+06,3.76E+06,1.46E-01,4.70E-01,3.80E-01,3.60E-03,1
inositol,C6H12O6,17268,180.15588,Sugars,no,2.54E+07,1.56E+07,3.22E+07,2.50E+07,2.52E+07,4.14E+07,5.51E+07,4.27E+07,5.67E+07,4.89E+07,3.42E+07,4.22E+07,4.53E+07,1.25E+08,4.38E+07,370000,5.02E+06,1.06E+07,1.39E+06,3.21E+06,2.08E-01,4.04E-01,3.61E-01,2.65E-02,1
syringic acid,C9H10O5,68329,198.1727,Organic acids,no,3.18E+06,1.83E+06,3.75E+06,1.37E+06,2.51E+06,3.50E+07,1.55E+07,2.57E+07,2.24E+07,2.41E+07,7.03E+06,2.04E+07,1.94E+07,6.38E+07,1.99E+07,947000,542000,486000,1.93E+06,7.45E+05,5.31E-02,5.10E-01,4.22E-01,1.58E-02,1
