,monomer,mingt,rrn,genomesize,BGE,rgrowth_x,BP,BR,Formula,ChEBI_ID,Molecular_weight,Ontology,Xlogp3,rgrowth_y,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,latency
43,jasmonic acid,4.04,7.0,5642219.0,0.4950155997476151,0.017834794199712,1.6526017035410442e-09,9.729251798915875e-10,C12H18O3 ,18292,210.2695,Organic acids,1.6,0.0136614651016426,4.260835145932427e-05,9.955308267183356e-06,5.412332804956037e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.016012554812909e-06,1.832738686193554e-07,2.1992864234322645e-06,6.341056973120886e-08,3.342631778911841e-07,6.341056973120886e-08,0.0141688208649833,170.18541363117936
44,lactic acid,4.04,7.0,5642219.0,0.3344777570450877,0.0178359870085497,1.6508333670945474e-09,2.4233565447010863e-09,C3H6O3,422,90.07794,Organic acids,-0.72,0.0136619050611721,4.25021498243445e-05,9.955308267183356e-06,4.203768294778421e-08,1.6889916470070467e-08,2.6233274517343496e-08,1.988033605902626e-06,1.1021740716662224e-06,3.090207677568848e-06,5.2502449790115017e-08,3.298859313887386e-07,5.2502449790115017e-08,0.0141694113313401,164.86708844200834
45,leucine,4.36,6.0,6067264.0,0.5762608092492759,0.0616972951196143,8.219616793006875e-09,4.550570046088847e-09,C6H13NO2,25017,131.17296,Amino acids,-1.52,0.0616972951196143,0.0001770604169432,0.0004670998598473,4.5678629549307086e-05,1.3858822369824e-06,2.748405447277591e-06,0.001620065478381,0.0003240130956762,0.0019440785740573,3.298903046320288e-06,0.0014861621540242,3.298903046320288e-06,0.0783215233001832,131.756718381195
46,linoleic acid,4.16,6.0,5642219.0,0.549009757202905,0.0163420555260128,1.5393851255715395e-09,1.086862575480087e-09,C18H32O2,17351,280.4455,Fatty acids,6.98,0.016263644140164,6.076659581865393e-05,0.0004429132618239,5.027467413789987e-07,9.105993834220124e-07,1.9283895047375536e-06,0.0013796428310055,8.11554606473834e-05,0.0014607982916529,2.708337671628568e-06,0.0007517749674689,2.708337671628568e-06,0.0197704986846353,254.31233600413503
47,linoleic acid,4.16,6.0,5642219.0,0.549009757202905,0.0163420555260128,1.5393851255715395e-09,1.086862575480087e-09,C18H32O2,17351,280.4455,Fatty acids,6.98,0.016263644140164,6.076659581865393e-05,0.0004429132618239,5.027467413789987e-07,9.105993834220124e-07,1.9283895047375536e-06,0.0013796428310055,8.11554606473834e-05,0.0014607982916529,2.708337671628568e-06,0.0007517749674689,2.708337671628568e-06,0.0197704986846353,254.31233600413503
48,lysine,4.36,6.0,6067264.0,0.576252573763051,0.0616080416820471,8.217613890725776e-09,4.390778664122368e-09,C6H14N2O2,25094,146.18764,Amino acids,-3.05,0.0616080416820471,0.0001739916196298,0.0004687442535247,4.559067498337304e-05,1.396982865728503e-06,2.7476184066037293e-06,0.001617903970078,0.0003235807940156,0.0019414847640936,3.295507062459135e-06,0.001472091938863,3.295507062459135e-06,0.0791998535652794,131.82508879738126
49,malic acid,4.04,7.0,5642219.0,0.3344939626865061,0.0178381875558085,1.6509539726066567e-09,2.417904192984507e-09,C4H6O5,6650,134.08744,Organic acids,-1.26,0.0136616815915638,4.266406377756575e-05,9.955308267183356e-06,4.2038422665837086e-08,1.6889916470070467e-08,2.6233274517343496e-08,1.9881730275829407e-06,1.1022513676237029e-06,3.090424395206644e-06,5.2507119626155054e-08,3.298917362347105e-07,5.2507119626155054e-08,0.0141692261579185,164.71906001398764
50,malonic acid ,4.04,7.0,5642219.0,0.2382245048953222,0.0178406327400101,1.6492784347028224e-09,4.0888922184436e-09,C3H4O4,30794,104.06146,Organic acids,-0.81,0.0136617645032801,4.171237575115726e-05,9.240240855198046e-06,4.6450572471546126e-08,1.5676751740785957e-08,2.4348997384625e-08,2.1951589574336727e-06,2.5256129940365905e-06,4.720771951470263e-06,5.8174543920918096e-08,3.645155260962808e-07,5.8174543920918096e-08,0.0137762609054803,159.6302320758327
51,maltose,4.36,6.0,6067264.0,0.6079874017332478,0.0576464162234871,7.235774840180772e-09,2.65276090472306e-09,C12H22O11,17306,342.29648,Sugars,-3.57,0.0576464162234871,0.0001608319516007,0.0005340315437889,3.200360642662657e-05,1.5656738019085987e-06,3.2029241548112145e-06,0.0017715586662398,0.0001734279755605,0.0019449866418003,3.6119166503841486e-06,0.0015042024919107,3.6119166503841486e-06,0.0630219686666267,143.67423053036464
52,methionine ,4.36,6.0,6067264.0,0.5529258764123502,0.0614537502991874,8.208409385640265e-09,4.6856993372237875e-09,C5H11NO2S,16811,149.21238,Amino acids,-1.87,0.0614537502991874,0.0001764912813231,0.0004306279431576,4.155427703607664e-05,1.251049335015301e-06,2.519071022318881e-06,0.0014915997687278,0.0003728999421819,0.0018644997109097,3.024882937007912e-06,0.0013427306130493,3.024882937007912e-06,0.0744366971605691,131.4177611796909
